Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0455996237,45.1292975763,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,45.0982251991,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,45.0671528219,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,45.0360804447,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,45.0050080676,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0542790433,44.9507290243,9.0909090909,34.4294333055,1.0000000000,0.9829760000,215.6715932027,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0260243420,44.9247046823,9.0909090909,34.4294333055,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0260243420,44.8986803404,9.0909090909,34.4294333055,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0260243420,44.8726559984,9.0909090909,34.4294333055,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0260243420,44.8466316564,9.0909090909,34.4294333055,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0467343232,44.7998973332,14.2857142857,31.0375052035,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0256852978,44.7742120354,14.2857142857,31.0375052035,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0256852978,44.7485267376,14.2857142857,31.0375052035,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0256852978,44.7228414398,14.2857142857,31.0375052035,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0256852978,44.6971561420,14.2857142857,31.0375052035,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0466966597,44.6504594824,16.6666666667,27.4758408872,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0272365492,44.6232229332,16.6666666667,27.4758408872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0272365492,44.5959863840,16.6666666667,27.4758408872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0272365492,44.5687498348,16.6666666667,27.4758408872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0272365492,44.5415132856,16.6666666667,27.4758408872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0464125698,44.4951007158,16.6666666667,40.7894908555,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0269403819,44.4681603340,16.6666666667,40.7894908555,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0269403819,44.4412199521,16.6666666667,40.7894908555,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0269403819,44.4142795702,16.6666666667,40.7894908555,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0269403819,44.3873391884,16.6666666667,40.7894908555,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
26,100,0,6,100,100,0,0,1,106,782,100,100,0.0462457363,44.3410934520,16.6666666667,28.6631142098,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0268788949,44.3142145571,16.6666666667,28.6631142098,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0268788949,44.2873356623,16.6666666667,28.6631142098,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
29,100,0,6,100,100,0,0,0,0,0,100,100,0.0268788949,44.2604567674,16.6666666667,28.6631142098,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
30,100,0,6,100,100,0,0,0,0,0,100,100,0.0268788949,44.2335778725,16.6666666667,28.6631142098,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
31,100,0,9,100,100,0,0,1,109,1073,100,100,0.0510177092,44.1825601633,11.1111111111,45.2839672872,1.0000000000,0.9805440000,216.2065139351,0,0,0,0,8
32,100,0,9,100,100,0,0,0,0,0,100,100,0.0262875649,44.1562725984,11.1111111111,45.2839672872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
33,100,0,9,100,100,0,0,0,0,0,100,100,0.0262875649,44.1299850335,11.1111111111,45.2839672872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
34,100,0,9,100,100,0,0,0,0,0,100,100,0.0262875649,44.1036974686,11.1111111111,45.2839672872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
35,100,0,9,100,100,0,0,0,0,0,100,100,0.0262875649,44.0774099036,11.1111111111,45.2839672872,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
36,100,0,5,100,100,0,0,1,105,685,100,100,0.0435117934,44.0338981102,20.0000000000,28.1542724572,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
37,100,0,5,100,100,0,0,0,0,0,100,100,0.0260165014,44.0078816089,20.0000000000,28.1542724572,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
38,100,0,5,100,100,0,0,0,0,0,100,100,0.0260165014,43.9818651075,20.0000000000,28.1542724572,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
39,100,0,5,100,100,0,0,0,0,0,100,100,0.0260165014,43.9558486062,20.0000000000,28.1542724572,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
40,100,0,5,100,100,0,0,0,0,0,100,100,0.0260165014,43.9298321048,20.0000000000,28.1542724572,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
41,100,0,7,100,100,0,0,1,107,879,100,100,0.0471184082,43.8827136966,14.2857142857,43.0793064237,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
42,100,0,7,100,100,0,0,0,0,0,100,100,0.0260212326,43.8566924640,14.2857142857,43.0793064237,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
43,100,0,7,100,100,0,0,0,0,0,100,100,0.0260212326,43.8306712314,14.2857142857,43.0793064237,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
44,100,0,7,100,100,0,0,0,0,0,100,100,0.0260212326,43.8046499988,14.2857142857,43.0793064237,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
45,100,0,7,100,100,0,0,0,0,0,100,100,0.0260212326,43.7786287662,14.2857142857,43.0793064237,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
46,100,0,7,100,100,0,0,1,107,879,100,100,0.0475361453,43.7310926210,14.2857142857,40.7046747596,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
47,100,0,7,100,100,0,0,0,0,0,100,100,0.0263745054,43.7047181156,14.2857142857,40.7046747596,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
48,100,0,7,100,100,0,0,0,0,0,100,100,0.0263745054,43.6783436102,14.2857142857,40.7046747596,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
49,100,0,7,100,100,0,0,0,0,0,100,100,0.0263745054,43.6519691049,14.2857142857,40.7046747596,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
50,100,0,7,100,100,0,0,0,0,0,100,100,0.0263745054,43.6255945995,14.2857142857,40.7046747596,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
51,100,0,7,100,100,0,0,1,107,879,100,100,0.0475054083,43.5780891913,14.2857142857,35.1078966364,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
52,100,0,7,100,100,0,0,0,0,0,100,100,0.0263308069,43.5517583843,14.2857142857,35.1078966364,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
53,100,0,7,100,100,0,0,0,0,0,100,100,0.0263308069,43.5254275774,14.2857142857,35.1078966364,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
54,100,0,7,100,100,0,0,0,0,0,100,100,0.0263308069,43.4990967704,14.2857142857,35.1078966364,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
55,100,0,7,100,100,0,0,0,0,0,100,100,0.0263308069,43.4727659635,14.2857142857,35.1078966364,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
56,100,0,5,100,100,0,0,1,105,685,100,100,0.0462765588,43.4264894047,20.0000000000,31.7159262737,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
57,100,0,5,100,100,0,0,0,0,0,100,100,0.0283736076,43.3981157971,20.0000000000,31.7159262737,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
58,100,0,5,100,100,0,0,0,0,0,100,100,0.0283736076,43.3697421895,20.0000000000,31.7159262737,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
59,100,0,5,100,100,0,0,0,0,0,100,100,0.0283736076,43.3413685818,20.0000000000,31.7159262737,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
60,100,0,5,100,100,0,0,0,0,0,100,100,0.0283736076,43.3129949742,20.0000000000,31.7159262737,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
61,100,0,2,100,100,0,0,1,102,394,100,100,0.0457460387,43.2672489355,50.0000000000,20.7768339428,1.0000000000,0.9720320000,218.0998156439,0,0,0,0,1
62,100,0,2,100,100,0,0,0,0,0,100,100,0.0330012909,43.2342476446,50.0000000000,20.7768339428,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
63,100,0,2,100,100,0,0,0,0,0,100,100,0.0330012909,43.2012463537,50.0000000000,20.7768339428,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
64,100,0,2,100,100,0,0,0,0,0,100,100,0.0330012909,43.1682450629,50.0000000000,20.7768339428,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
65,100,0,2,100,100,0,0,0,0,0,100,100,0.0330012909,43.1352437720,50.0000000000,20.7768339428,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
66,100,0,4,100,100,0,0,1,104,588,100,100,0.0437456246,43.0914981474,25.0000000000,27.6454686152,1.0000000000,0.9744640000,217.5554971759,0,0,0,0,3
67,100,0,4,100,100,0,0,0,0,0,100,100,0.0278102316,43.0636879158,25.0000000000,27.6454686152,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
68,100,0,4,100,100,0,0,0,0,0,100,100,0.0278102316,43.0358776842,25.0000000000,27.6454686152,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
69,100,0,4,100,100,0,0,0,0,0,100,100,0.0278102316,43.0080674525,25.0000000000,27.6454686152,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
70,100,0,4,100,100,0,0,0,0,0,100,100,0.0278102316,42.9802572209,25.0000000000,27.6454686152,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
71,100,0,1,100,100,0,0,1,101,297,100,100,0.0455236938,42.9347335271,100.0000000000,16.8759597531,1.0000000000,0.9708160000,218.3729975608,0,0,0,0,0
72,100,0,1,100,100,0,0,0,0,0,100,100,0.0342694137,42.9004641135,100.0000000000,16.8759597531,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
73,100,0,1,100,100,0,0,0,0,0,100,100,0.0342694137,42.8661946998,100.0000000000,16.8759597531,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
74,100,0,1,100,100,0,0,0,0,0,100,100,0.0342694137,42.8319252862,100.0000000000,16.8759597531,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
75,100,0,1,100,100,0,0,0,0,0,100,100,0.0342694137,42.7976558725,100.0000000000,16.8759597531,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
76,100,0,5,100,100,0,0,1,105,685,100,100,0.0443458722,42.7533100003,20.0000000000,30.0198534859,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
77,100,0,5,100,100,0,0,0,0,0,100,100,0.0267228204,42.7265871799,20.0000000000,30.0198534859,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
78,100,0,5,100,100,0,0,0,0,0,100,100,0.0267228204,42.6998643594,20.0000000000,30.0198534859,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
79,100,0,5,100,100,0,0,0,0,0,100,100,0.0267228204,42.6731415390,20.0000000000,30.0198534859,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
80,100,0,5,100,100,0,0,0,0,0,100,100,0.0267228204,42.6464187186,20.0000000000,30.0198534859,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
81,100,0,6,100,100,0,0,1,106,782,100,100,0.0456599061,42.6007588125,16.6666666667,29.5958596254,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
82,100,0,6,100,100,0,0,0,0,0,100,100,0.0263247103,42.5744341022,16.6666666667,29.5958596254,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
83,100,0,6,100,100,0,0,0,0,0,100,100,0.0263247103,42.5481093919,16.6666666667,29.5958596254,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
84,100,0,6,100,100,0,0,0,0,0,100,100,0.0263247103,42.5217846816,16.6666666667,29.5958596254,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
85,100,0,6,100,100,0,0,0,0,0,100,100,0.0263247103,42.4954599712,16.6666666667,29.5958596254,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
86,100,0,2,100,100,0,0,1,102,394,100,100,0.0407387526,42.4547212186,50.0000000000,19.6742243441,1.0000000000,0.9720320000,218.0998156439,0,0,0,0,1
87,100,0,2,100,100,0,0,0,0,0,100,100,0.0283068091,42.4264144095,50.0000000000,19.6742243441,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
88,100,0,2,100,100,0,0,0,0,0,100,100,0.0283068091,42.3981076005,50.0000000000,19.6742243441,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
89,100,0,2,100,100,0,0,0,0,0,100,100,0.0283068091,42.3698007914,50.0000000000,19.6742243441,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
90,100,0,2,100,100,0,0,0,0,0,100,100,0.0283068091,42.3414939824,50.0000000000,19.6742243441,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,1
91,100,0,1,100,100,0,0,1,101,297,100,100,0.0466306996,42.2948632828,100.0000000000,16.8757443948,1.0000000000,0.9708160000,218.3729975608,0,0,0,0,0
92,100,0,1,100,100,0,0,0,0,0,100,100,0.0349409709,42.2599223119,100.0000000000,16.8757443948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
93,100,0,1,100,100,0,0,0,0,0,100,100,0.0349409709,42.2249813410,100.0000000000,16.8757443948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
94,100,0,1,100,100,0,0,0,0,0,100,100,0.0349409709,42.1900403701,100.0000000000,16.8757443948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
95,100,0,1,100,100,0,0,0,0,0,100,100,0.0349409709,42.1550993992,100.0000000000,16.8757443948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
96,100,0,67,100,100,0,0,1,124,6699,100,100,0.1536397309,42.0014596682,1.4925373134,73.1831145938,1.0000000000,0.9987840000,212.2581058567,0,0,0,0,66
97,100,0,67,100,100,0,0,0,0,0,100,100,0.0256160954,41.9758435729,1.4925373134,73.1831145938,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,66
98,100,0,67,100,100,0,0,0,0,0,100,100,0.0256160954,41.9502274775,1.4925373134,73.1831145938,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,66
99,100,0,67,100,100,0,0,0,0,0,100,100,0.0256160954,41.9246113821,1.4925373134,73.1831145938,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,66
100,100,0,67,100,100,0,0,0,0,0,100,100,0.0256160954,41.8989952868,1.4925373134,73.1831145938,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,66
101,100,0,7,100,100,0,0,1,106,879,100,100,0.0474667263,41.8515285604,14.2857142857,27.9846964409,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,6
102,100,0,7,100,100,0,0,0,0,0,100,100,0.0263685516,41.8251600088,14.2857142857,27.9846964409,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
103,100,0,7,100,100,0,0,0,0,0,100,100,0.0263685516,41.7987914571,14.2857142857,27.9846964409,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
104,100,0,7,100,100,0,0,0,0,0,100,100,0.0263685516,41.7724229055,14.2857142857,27.9846964409,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
105,100,0,7,100,100,0,0,0,0,0,100,100,0.0263685516,41.7460543538,14.2857142857,27.9846964409,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
106,100,0,6,100,100,0,0,1,106,782,100,100,0.0451764187,41.7008779351,16.6666666667,26.5430428276,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
107,100,0,6,100,100,0,0,0,0,0,100,100,0.0258978571,41.6749800780,16.6666666667,26.5430428276,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
108,100,0,6,100,100,0,0,0,0,0,100,100,0.0258978571,41.6490822210,16.6666666667,26.5430428276,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
109,100,0,6,100,100,0,0,0,0,0,100,100,0.0258978571,41.6231843639,16.6666666667,26.5430428276,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
110,100,0,6,100,100,0,0,0,0,0,100,100,0.0258978571,41.5972865068,16.6666666667,26.5430428276,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
111,100,0,4,100,100,0,0,1,104,588,100,100,0.0492417811,41.5480447256,25.0000000000,25.3561156195,1.0000000000,0.9744640000,217.5554971759,0,0,0,0,3
112,100,0,4,100,100,0,0,0,0,0,100,100,0.0329085869,41.5151361387,25.0000000000,25.3561156195,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
113,100,0,4,100,100,0,0,0,0,0,100,100,0.0329085869,41.4822275518,25.0000000000,25.3561156195,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
114,100,0,4,100,100,0,0,0,0,0,100,100,0.0329085869,41.4493189650,25.0000000000,25.3561156195,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
115,100,0,4,100,100,0,0,0,0,0,100,100,0.0329085869,41.4164103781,25.0000000000,25.3561156195,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
116,100,0,8,100,100,0,0,1,108,976,100,100,0.0486695308,41.3677408473,12.5000000000,30.6134788210,1.0000000000,0.9793280000,216.4749705921,0,0,0,0,7
117,100,0,8,100,100,0,0,0,0,0,100,100,0.0258116077,41.3419292395,12.5000000000,30.6134788210,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
118,100,0,8,100,100,0,0,0,0,0,100,100,0.0258116077,41.3161176318,12.5000000000,30.6134788210,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
119,100,0,8,100,100,0,0,0,0,0,100,100,0.0258116077,41.2903060240,12.5000000000,30.6134788210,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
120,100,0,8,100,100,0,0,0,0,0,100,100,0.0258116077,41.2644944163,12.5000000000,30.6134788210,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
121,100,0,3,100,100,0,0,1,103,491,100,100,0.0416294934,41.2228649229,33.3333333333,24.3382049118,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
122,100,0,3,100,100,0,0,0,0,0,100,100,0.0275053157,41.1953596071,33.3333333333,24.3382049118,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
123,100,0,3,100,100,0,0,0,0,0,100,100,0.0275053157,41.1678542914,33.3333333333,24.3382049118,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
124,100,0,3,100,100,0,0,0,0,0,100,100,0.0275053157,41.1403489757,33.3333333333,24.3382049118,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
125,100,0,3,100,100,0,0,0,0,0,100,100,0.0275053157,41.1128436600,33.3333333333,24.3382049118,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
126,100,0,3,100,100,0,0,1,103,491,100,100,0.0423107599,41.0705329000,33.3333333333,23.0663639690,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
127,100,0,3,100,100,0,0,0,0,0,100,100,0.0281738237,41.0423590763,33.3333333333,23.0663639690,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
128,100,0,3,100,100,0,0,0,0,0,100,100,0.0281738237,41.0141852526,33.3333333333,23.0663639690,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
129,100,0,3,100,100,0,0,0,0,0,100,100,0.0281738237,40.9860114289,33.3333333333,23.0663639690,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
130,100,0,3,100,100,0,0,0,0,0,100,100,0.0281738237,40.9578376052,33.3333333333,23.0663639690,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
131,100,0,5,100,100,0,0,1,105,685,100,100,0.0443499355,40.9134876697,20.0000000000,29.2566960623,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
132,100,0,5,100,100,0,0,0,0,0,100,100,0.0267961386,40.8866915310,20.0000000000,29.2566960623,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
133,100,0,5,100,100,0,0,0,0,0,100,100,0.0267961386,40.8598953924,20.0000000000,29.2566960623,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
134,100,0,5,100,100,0,0,0,0,0,100,100,0.0267961386,40.8330992538,20.0000000000,29.2566960623,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
135,100,0,5,100,100,0,0,0,0,0,100,100,0.0267961386,40.8063031151,20.0000000000,29.2566960623,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
136,100,0,5,100,100,0,0,1,105,685,100,100,0.0447453419,40.7615577732,20.0000000000,28.4086774658,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
137,100,0,5,100,100,0,0,0,0,0,100,100,0.0271242916,40.7344334816,20.0000000000,28.4086774658,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
138,100,0,5,100,100,0,0,0,0,0,100,100,0.0271242916,40.7073091900,20.0000000000,28.4086774658,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
139,100,0,5,100,100,0,0,0,0,0,100,100,0.0271242916,40.6801848984,20.0000000000,28.4086774658,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
140,100,0,5,100,100,0,0,0,0,0,100,100,0.0271242916,40.6530606069,20.0000000000,28.4086774658,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
141,100,0,4,100,100,0,0,1,104,588,100,100,0.0429779201,40.6100826868,25.0000000000,27.5607497948,1.0000000000,0.9744640000,217.5554971759,0,0,0,0,3
142,100,0,4,100,100,0,0,0,0,0,100,100,0.0271513162,40.5829313706,25.0000000000,27.5607497948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
143,100,0,4,100,100,0,0,0,0,0,100,100,0.0271513162,40.5557800543,25.0000000000,27.5607497948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
144,100,0,4,100,100,0,0,0,0,0,100,100,0.0271513162,40.5286287381,25.0000000000,27.5607497948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
145,100,0,4,100,100,0,0,0,0,0,100,100,0.0271513162,40.5014774218,25.0000000000,27.5607497948,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
146,100,0,9,100,100,0,0,1,108,1073,100,100,0.0504270992,40.4510503226,11.1111111111,39.6870520463,1.0000000000,0.9793280000,216.4749705921,0,0,0,0,8
147,100,0,9,100,100,0,0,0,0,0,100,100,0.0257656525,40.4252846702,11.1111111111,39.6870520463,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
148,100,0,9,100,100,0,0,0,0,0,100,100,0.0257656525,40.3995190177,11.1111111111,39.6870520463,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
149,100,0,9,100,100,0,0,0,0,0,100,100,0.0257656525,40.3737533653,11.1111111111,39.6870520463,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
150,100,0,9,100,100,0,0,0,0,0,100,100,0.0257656525,40.3479877128,11.1111111111,39.6870520463,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,8
151,100,0,3,100,100,0,0,1,103,491,100,100,0.0414832595,40.3065044533,33.3333333333,27.6454682592,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
152,100,0,3,100,100,0,0,0,0,0,100,100,0.0273564475,40.2791480058,33.3333333333,27.6454682592,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
153,100,0,3,100,100,0,0,0,0,0,100,100,0.0273564475,40.2517915583,33.3333333333,27.6454682592,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
154,100,0,3,100,100,0,0,0,0,0,100,100,0.0273564475,40.2244351108,33.3333333333,27.6454682592,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
155,100,0,3,100,100,0,0,0,0,0,100,100,0.0273564475,40.1970786633,33.3333333333,27.6454682592,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
156,100,0,1,100,100,0,0,1,101,297,100,100,0.0450229467,40.1520557166,100.0000000000,16.8759464110,1.0000000000,0.9708160000,218.3729975608,0,0,0,0,0
157,100,0,1,100,100,0,0,0,0,0,100,100,0.0338035400,40.1182521766,100.0000000000,16.8759464110,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
158,100,0,1,100,100,0,0,0,0,0,100,100,0.0338035400,40.0844486367,100.0000000000,16.8759464110,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
159,100,0,1,100,100,0,0,0,0,0,100,100,0.0338035400,40.0506450967,100.0000000000,16.8759464110,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
160,100,0,1,100,100,0,0,0,0,0,100,100,0.0338035400,40.0168415567,100.0000000000,16.8759464110,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,0
161,100,0,4,100,100,0,0,1,104,588,100,100,0.0427228355,39.9741187212,25.0000000000,22.9814511477,1.0000000000,0.9744640000,217.5554971759,0,0,0,0,3
162,100,0,4,100,100,0,0,0,0,0,100,100,0.0268989545,39.9472197667,25.0000000000,22.9814511477,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
