Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS
1,100,0,1,100,100,0,0,1,101,297,100,100,0.0224191572,49.9615158428,100.0000000000,10.8058995937,1.0000000000,0.8872000000,227.2317403066,0,0,0,65
2,100,0,1,100,100,0,0,0,0,0,100,100,0.0168985013,49.9446173415,100.0000000000,10.8058995937,1.0000000000,0.8064000000,250.0000000000,0,0,0,65
3,100,0,1,100,100,0,0,0,0,0,100,100,0.0168985013,49.9277188402,100.0000000000,10.8058995937,1.0000000000,0.8064000000,250.0000000000,0,0,0,65
4,100,0,1,100,100,0,0,0,0,0,100,100,0.0168985013,49.9108203389,100.0000000000,10.8058995937,1.0000000000,0.8064000000,250.0000000000,0,0,0,65
5,100,0,1,100,100,0,0,0,0,0,100,100,0.0168985013,49.8939218376,100.0000000000,10.8058995937,1.0000000000,0.8064000000,250.0000000000,0,0,0,65
6,100,0,2,100,100,0,0,1,102,394,100,100,0.0236598564,49.8702619813,50.0000000000,11.2091289142,1.0000000000,0.8880000000,227.0270270270,0,0,0,59
7,100,0,2,100,100,0,0,0,0,0,100,100,0.0168449118,49.8534170694,50.0000000000,11.2091289142,1.0000000000,0.8064000000,250.0000000000,0,0,0,59
8,100,0,2,100,100,0,0,0,0,0,100,100,0.0168449118,49.8365721576,50.0000000000,11.2091289142,1.0000000000,0.8064000000,250.0000000000,0,0,0,59
9,100,0,2,100,100,0,0,0,0,0,100,100,0.0168449118,49.8197272458,50.0000000000,11.2091289142,1.0000000000,0.8064000000,250.0000000000,0,0,0,59
10,100,0,2,100,100,0,0,0,0,0,100,100,0.0168449118,49.8028823339,50.0000000000,11.2091289142,1.0000000000,0.8064000000,250.0000000000,0,0,0,59
11,100,0,6,100,100,0,0,1,106,782,100,100,0.0295754124,49.7733069215,16.6666666667,12.9832041487,1.0000000000,0.8912000000,226.2118491921,0,0,0,33
12,100,0,6,100,100,0,0,0,0,0,100,100,0.0188696790,49.7544372425,16.6666666667,12.9832041487,1.0000000000,0.8064000000,250.0000000000,0,0,0,33
13,100,0,6,100,100,0,0,0,0,0,100,100,0.0188696790,49.7355675635,16.6666666667,12.9832041487,1.0000000000,0.8064000000,250.0000000000,0,0,0,33
14,100,0,6,100,100,0,0,0,0,0,100,100,0.0188696790,49.7166978845,16.6666666667,12.9832041487,1.0000000000,0.8064000000,250.0000000000,0,0,0,33
15,100,0,6,100,100,0,0,0,0,0,100,100,0.0188696790,49.6978282055,16.6666666667,12.9832041487,1.0000000000,0.8064000000,250.0000000000,0,0,0,33
16,100,0,9,100,100,0,0,1,109,1073,100,100,0.0328243630,49.6650038425,11.1111111111,13.3057681160,1.0000000000,0.8936000000,225.6042972247,0,0,0,26
17,100,0,9,100,100,0,0,0,0,0,100,100,0.0188748989,49.6461289436,11.1111111111,13.3057681160,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
18,100,0,9,100,100,0,0,0,0,0,100,100,0.0188748989,49.6272540448,11.1111111111,13.3057681160,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
19,100,0,9,100,100,0,0,0,0,0,100,100,0.0188748989,49.6083791459,11.1111111111,13.3057681160,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
20,100,0,9,100,100,0,0,0,0,0,100,100,0.0188748989,49.5895042471,11.1111111111,13.3057681160,1.0000000000,0.8064000000,250.0000000000,0,0,0,26
21,100,0,13,100,100,0,0,1,113,1461,100,100,0.0385714580,49.5509327890,7.6923076923,14.9185601354,1.0000000000,0.8968000000,224.7992863515,0,0,0,2
22,100,0,13,100,100,0,0,0,0,0,100,100,0.0204131127,49.5305196764,7.6923076923,14.9185601354,1.0000000000,0.8064000000,250.0000000000,0,0,0,2
23,100,0,13,100,100,0,0,0,0,0,100,100,0.0204131127,49.5101065637,7.6923076923,14.9185601354,1.0000000000,0.8064000000,250.0000000000,0,0,0,2
24,100,0,13,100,100,0,0,0,0,0,100,100,0.0204131127,49.4896934511,7.6923076923,14.9185601354,1.0000000000,0.8064000000,250.0000000000,0,0,0,2
25,100,0,13,100,100,0,0,0,0,0,100,100,0.0204131127,49.4692803384,7.6923076923,14.9185601354,1.0000000000,0.8064000000,250.0000000000,0,0,0,2
26,100,0,3,100,100,0,0,1,103,491,100,100,0.0259556772,49.4433246612,33.3333333333,12.2574309047,1.0000000000,0.8888000000,226.8226822682,0,0,0,45
27,100,0,3,100,100,0,0,0,0,0,100,100,0.0183795630,49.4249450982,33.3333333333,12.2574309047,1.0000000000,0.8064000000,250.0000000000,0,0,0,45
28,100,0,3,100,100,0,0,0,0,0,100,100,0.0183795630,49.4065655351,33.3333333333,12.2574309047,1.0000000000,0.8064000000,250.0000000000,0,0,0,45
29,100,0,3,100,100,0,0,0,0,0,100,100,0.0183795630,49.3881859721,33.3333333333,12.2574309047,1.0000000000,0.8064000000,250.0000000000,0,0,0,45
30,100,0,3,100,100,0,0,0,0,0,100,100,0.0183795630,49.3698064090,33.3333333333,12.2574309047,1.0000000000,0.8064000000,250.0000000000,0,0,0,45
31,100,0,4,100,100,0,0,1,104,588,100,100,0.0270858091,49.3427205999,25.0000000000,12.9832072011,1.0000000000,0.8896000000,226.6187050360,0,0,0,35
32,100,0,4,100,100,0,0,0,0,0,100,100,0.0185021757,49.3242184242,25.0000000000,12.9832072011,1.0000000000,0.8064000000,250.0000000000,0,0,0,35
